latitude,longitude,shock
51.1123616,17.0035950,0
51.1124400,17.0036383,1497
51.1125016,17.0035116,1973
51.1125250,17.0033416,1084
51.1125550,17.0031583,1370
51.1125900,17.0029933,1496
51.1125916,17.0028466,0
51.1125350,17.0027099,0
51.1125250,17.0026850,0
51.1125300,17.0026783,0
51.1125166,17.0026750,0
51.1124966,17.0026700,0
51.1124916,17.0026666,0
51.1124650,17.0026716,0
51.1124816,17.0026733,0
51.1125116,17.0026716,0
51.1125466,17.0026966,0
51.1125433,17.0027350,0
51.1125150,17.0028050,0
51.1124000,17.0028400,292
51.1123716,17.0028250,0
51.1123500,17.0027983,0
51.1123400,17.0027883,0
51.1123200,17.0027750,0
51.1123166,17.0027633,0
51.1103916,17.0935183,0
51.1103916,17.0935183,0
51.1103933,17.0935166,0
51.1103933,17.0935066,0
51.1104050,17.0935116,932
51.1104366,17.0934966,2286
51.1104883,17.0934816,2514
51.1105400,17.0934416,2715
51.1106083,17.0933316,7794
51.1107000,17.0932299,1117
51.1107866,17.0931366,3854
51.1108900,17.0930266,1149
51.1109966,17.0928850,1451
51.1111233,17.0926916,4269
51.1112566,17.0925199,934
51.1113900,17.0923300,10208
51.1115266,17.0921866,3461
51.1116666,17.0920083,5407
51.1117966,17.0918600,2840
51.1119000,17.0917400,6363
51.1119683,17.0916116,2099
51.1120366,17.0915133,0
51.1121133,17.0914183,4925
51.1121966,17.0913200,0
51.1122966,17.0912016,4579
51.1123933,17.0910916,6546
51.1124816,17.0909750,5172
51.1125800,17.0908400,3179
51.1126883,17.0906916,4702
51.1128066,17.0905450,5040
51.1129133,17.0904000,5378
51.1130233,17.0902416,972
51.1131416,17.0900966,3220
51.1132283,17.0899650,997
51.1132316,17.0897716,0
51.1132083,17.0894900,1274
51.1131716,17.0892066,916
51.1131450,17.0889266,0
51.1131116,17.0886416,0
51.1130716,17.0883216,1093
51.1130000,17.0879033,0
51.1129416,17.0875950,950
51.1128800,17.0873000,0
